dep,arr,dep_country,arr_country,dep_continent,arr_continent,flights,cycles,block_h,median_block_h,gc_km,night_share,inferred_share,suspect_share,first_seen,last_seen,callsigns,aircraft,suggested,segment
SFO,CVG,US,US,NA,NA,7,7,29.24,4.16,3269.1,1.0,0.0,0.0,2026-07-29T02:38:54Z,2026-09-10T02:38:31Z,CSB2041 CSB405,1,?,charter
NLU,CVG,MX,US,NA,NA,8,8,27.87,3.53,2549.8,0.125,0.0,0.0,2025-04-06T16:40:35Z,2026-08-23T17:31:37Z,CJT2008 CJT906 CJT951,6,acmi,acmi
CVG,EMA,US,GB,NA,EU,3,3,21.82,7.2,6248.2,1.0,0.0,0.0,2025-04-12T07:19:38Z,2026-09-10T04:02:04Z,CJT317 CJT377,3,?,charter
YWG,YWG,CA,CA,NA,NA,14,27,20.47,1.55,0.0,0.0,0.0,0.071,2025-04-04T15:35:26Z,2026-08-21T15:25:54Z,CJT2484 CJT454 CJT462,7,domestic,domestic
MIA,KIN,US,JM,NA,NA,12,12,18.4,1.52,945.6,0.0,0.0,0.0,2026-04-01T15:02:52Z,2026-04-17T15:18:10Z,CJT921,4,acmi,acmi
YQM,YHM,CA,CA,NA,NA,8,8,17.9,2.24,1248.0,1.0,0.0,0.0,2025-04-03T00:12:16Z,2026-04-16T00:26:23Z,CJT620 CJT621,6,domestic,domestic
YHZ,YMX,CA,CA,NA,NA,10,10,16.72,1.65,828.1,1.0,0.0,0.0,2025-04-02T08:39:39Z,2026-04-15T08:43:51Z,CJT566 CJT575 CJT623,5,domestic,domestic
YVR,YEG,CA,CA,NA,NA,12,12,16.62,1.39,809.0,1.0,0.0,0.0,2025-04-05T02:49:59Z,2026-08-15T02:55:35Z,CJT554 CJT574,9,domestic,domestic
LIM,MIA,PE,US,SA,NA,2,2,16.45,8.22,4219.2,0.0,0.0,0.0,2026-09-03T11:20:17Z,2026-09-10T11:28:10Z,CJT1510,2,acmi,acmi
YEG,YVR,CA,CA,NA,NA,10,10,15.7,1.58,809.0,0.0,0.0,0.0,2025-04-05T12:18:13Z,2026-08-21T12:15:59Z,CJT555 CJT573,7,domestic,domestic
YQM,YHZ,CA,CA,NA,NA,22,22,14.63,0.66,164.5,1.0,0.0,0.0,2025-04-04T07:14:11Z,2026-04-15T07:20:25Z,CJT2001 CJT624 CJT626,13,domestic,domestic
YQM,YQM,CA,CA,NA,NA,6,12,13.97,2.33,0.0,1.0,0.0,0.0,2025-04-04T07:21:49Z,2025-08-22T07:56:53Z,CJT620 CJT621 CJT625,5,domestic,domestic
YYT,YQM,CA,CA,NA,NA,8,8,13.86,1.67,921.0,0.0,0.0,0.0,2026-04-01T21:29:53Z,2026-09-03T20:56:51Z,CJT621 CJT625,6,domestic,domestic
YHM,YYT,CA,CA,NA,NA,3,3,11.72,3.88,2166.9,1.0,0.0,0.0,2026-04-01T05:11:00Z,2026-09-10T05:17:48Z,CJT620,3,domestic,domestic
MIA,YHM,US,CA,NA,NA,4,4,11.18,2.8,1932.3,0.25,0.0,0.0,2025-04-12T07:09:07Z,2026-09-03T13:08:56Z,CJT3122 CJT3164 CJT3242 CJT9003,4,?,charter
YEG,YYC,CA,CA,NA,NA,13,13,11.16,0.86,245.4,0.846,0.0,0.0,2025-04-11T23:16:26Z,2026-09-02T23:54:33Z,CJT9002 CJT917 CJT918,9,domestic,domestic
MIA,LIM,US,PE,NA,SA,2,2,10.93,5.47,4219.2,1.0,0.0,0.0,2026-09-03T03:20:48Z,2026-09-10T04:05:53Z,CJT1507,2,acmi,acmi
BOG,MIA,CO,US,SA,NA,3,3,10.26,3.39,2435.2,0.667,0.0,0.0,2026-04-14T02:03:03Z,2026-08-24T15:59:09Z,CJT252 CJT3222 CSB254,2,acmi,acmi
DFW,SJK,US,BR,NA,SA,1,1,10.15,10.15,8269.0,1.0,0.0,0.0,2025-04-06T09:31:41Z,2025-04-06T09:31:41Z,CJT3188,1,?,charter
