"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2025","94.75","93.62","94.87","93.53","37.59K","1.40%"
"06/25/2025","93.44","95.52","95.52","93.30","32.33K","-2.18%"
"06/24/2025","95.52","94.08","95.90","92.91","90.35K","2.45%"
"06/23/2025","93.24","93.53","94.11","91.98","61.16K","0.01%"
"06/20/2025","93.23","93.80","94.21","92.64","215.00K","-0.55%"
"06/19/2025","93.75","93.95","94.58","93.46","31.57K","0.35%"
"06/18/2025","93.42","94.39","95.20","92.96","41.58K","-1.30%"
"06/17/2025","94.65","95.27","95.74","93.97","70.30K","-0.45%"
"06/16/2025","95.08","93.46","95.48","92.75","93.69K","2.06%"
"06/13/2025","93.16","93.66","94.06","92.34","70.75K","-0.58%"
"06/12/2025","93.70","98.04","98.99","93.29","156.95K","-4.84%"
"06/11/2025","98.47","97.67","99.00","96.71","60.35K","1.82%"
"06/10/2025","96.71","96.59","98.33","96.56","39.03K","0.19%"
"06/09/2025","96.53","96.82","97.30","96.20","47.08K","0.32%"
"06/06/2025","96.22","95.43","96.35","94.58","74.01K","2.14%"
"06/05/2025","94.20","94.85","95.63","93.01","53.27K","-0.64%"
"06/04/2025","94.81","94.60","95.60","94.14","57.83K","0.03%"
"06/03/2025","94.78","91.44","94.89","91.01","78.12K","3.98%"
"06/02/2025","91.15","93.00","93.66","91.14","84.24K","-2.45%"
"05/30/2025","93.44","93.40","94.14","92.84","64.44K","0.02%"
"05/29/2025","93.42","93.47","95.42","93.29","52.48K","0.52%"
"05/28/2025","92.94","93.12","93.64","92.28","60.10K","-0.21%"
"05/27/2025","93.14","94.06","94.60","92.87","74.01K","-0.62%"
"05/26/2025","93.72","91.11","94.28","91.11","34.58K","2.73%"
"05/23/2025","91.23","90.72","92.85","90.72","75.00K","-0.73%"
"05/22/2025","91.90","90.00","92.31","89.60","53.81K","2.20%"
"05/21/2025","89.92","93.24","93.42","89.89","103.17K","-4.66%"
"05/20/2025","94.32","94.21","95.76","93.24","79.28K","-0.27%"
"05/16/2025","94.58","92.74","95.45","92.67","75.21K","1.63%"
"05/15/2025","93.06","95.75","96.11","93.00","97.13K","-3.91%"
"05/14/2025","96.85","96.40","97.50","95.38","81.04K","0.65%"
"05/13/2025","96.22","95.06","98.25","95.00","110.19K","1.26%"
"05/12/2025","95.02","94.33","95.92","92.65","112.56K","4.02%"
"05/09/2025","91.35","89.76","92.08","89.76","124.93K","2.19%"
"05/08/2025","89.39","85.62","89.56","85.57","86.54K","4.62%"
"05/07/2025","85.44","83.44","85.53","83.41","106.96K","2.40%"
"05/06/2025","83.44","83.89","84.43","82.44","85.59K","-0.82%"
"05/05/2025","84.13","84.18","86.59","83.10","99.18K","-0.37%"
"05/02/2025","84.44","84.56","85.89","84.15","84.61K","0.49%"
"05/01/2025","84.03","85.30","85.66","83.37","109.14K","-1.49%"
"04/30/2025","85.30","85.13","85.77","83.51","95.07K","-0.25%"
"04/29/2025","85.51","85.00","86.56","85.00","48.65K","0.36%"
"04/28/2025","85.20","84.47","87.36","84.47","73.41K","1.03%"
"04/25/2025","84.33","92.00","92.00","83.62","162.16K","-3.63%"
"04/24/2025","87.51","81.00","87.59","80.01","165.00K","15.34%"
"04/23/2025","75.87","75.93","77.75","75.26","65.40K","1.35%"
"04/22/2025","74.86","76.00","76.40","73.67","55.34K","-0.23%"
"04/21/2025","75.03","75.43","75.61","73.00","61.23K","-0.53%"
"04/17/2025","75.43","76.70","77.29","75.22","70.93K","-1.96%"
"04/16/2025","76.94","78.02","79.61","75.90","48.09K","-1.47%"
"04/15/2025","78.09","77.39","78.85","77.15","57.99K","0.76%"
"04/14/2025","77.50","77.34","78.85","76.79","55.12K","0.66%"
"04/11/2025","76.99","75.35","77.37","74.79","39.64K","2.46%"
"04/10/2025","75.14","78.38","78.57","72.00","110.23K","-5.47%"
"04/09/2025","79.49","70.92","80.93","70.90","133.14K","10.80%"
"04/08/2025","71.74","73.41","75.31","70.71","104.01K","-2.22%"
"04/07/2025","73.37","71.42","75.30","69.60","151.06K","-1.49%"
"04/04/2025","74.48","76.50","76.83","72.66","144.81K","-6.02%"
"04/03/2025","79.25","82.08","82.08","76.95","140.89K","-3.54%"
"04/02/2025","82.16","81.10","82.73","79.63","97.23K","0.65%"
"04/01/2025","81.63","82.89","83.08","80.93","97.62K","-1.22%"
"03/31/2025","82.64","81.14","84.38","80.50","95.47K","0.02%"
"03/28/2025","82.62","85.63","85.93","82.00","66.70K","-3.99%"
"03/27/2025","86.05","86.03","86.96","85.10","41.70K","-0.68%"
"03/26/2025","86.64","87.80","88.31","86.33","25.51K","-1.30%"
"03/25/2025","87.78","90.31","90.71","87.53","73.08K","-2.80%"
"03/24/2025","90.31","90.43","91.89","89.25","55.55K","0.47%"
"03/21/2025","89.89","86.51","90.00","84.71","295.24K","3.93%"
"03/20/2025","86.49","86.92","88.97","85.38","82.93K","-0.69%"
"03/19/2025","87.09","86.19","87.25","85.38","93.25K","2.01%"
"03/18/2025","85.37","87.00","87.19","84.94","56.20K","-1.95%"
"03/17/2025","87.07","87.48","88.07","86.74","43.74K","-0.45%"
"03/14/2025","87.46","85.45","87.69","85.24","88.72K","4.16%"
"03/13/2025","83.97","88.73","88.76","82.85","150.86K","-5.58%"
"03/12/2025","88.93","88.01","89.91","87.90","65.34K","2.14%"
"03/11/2025","87.07","87.44","89.75","86.48","101.89K","-0.68%"
"03/10/2025","87.67","90.14","90.71","86.36","175.79K","-3.91%"
"03/07/2025","91.24","91.00","94.72","89.76","112.91K","-0.67%"
"03/06/2025","91.86","91.56","93.10","89.86","77.88K","-1.16%"
"03/05/2025","92.94","93.54","95.23","92.39","95.62K","0.03%"
"03/04/2025","92.91","90.11","93.29","89.00","177.05K","-0.05%"
"03/03/2025","92.96","98.61","98.61","92.62","144.95K","-5.14%"
"02/28/2025","98.00","99.24","99.24","96.86","97.97K","-0.52%"
"02/27/2025","98.51","99.74","100.59","98.11","109.81K","-1.23%"
"02/26/2025","99.74","101.20","101.20","98.71","227.44K","-1.44%"
